[TRAIN]: (165/1600): reward: -3.658356189727783, rate: 5.341643810272217, loss: 0.010879576206207275, rho: 0.4
[TRAIN]: (166/1600): reward: -4.910577826201916, rate: 5.089422173798084, loss: 0.010116593912243843, rho: 0.4
[TRAIN]: (167/1600): reward: -9.625534519553185, rate: 3.3744654804468155, loss: 0.011675496585667133, rho: 0.4
[TRAIN]: (168/1600): reward: -2.2802329063415527, rate: 11.719767093658447, loss: 0.012033456936478615, rho: 0.4
[TRAIN]: (169/1600): reward: -10.908154338598251, rate: 0.09184566140174866, loss: 0.01498711109161377, rho: 0.4
[TRAIN]: (170/1600): reward: -11.896545052528381, rate: 0.10345494747161865, loss: 0.008824778720736504, rho: 0.4
[TRAIN]: (171/1600): reward: -4.205044724047184, rate: 4.794955275952816, loss: 0.012569932267069817, rho: 0.4
[TRAIN]: (172/1600): reward: -1.4221987463533878, rate: 7.577801253646612, loss: 0.010748936794698238, rho: 0.4
[TRAIN]: (173/1600): reward: -15.0, rate: 0, loss: 0.010771219618618488, rho: 0.4
[TRAIN]: (174/1600): reward: -7.16623592376709, rate: 4.83376407623291, loss: 0.012257995083928108, rho: 0.4
[TRAIN]: (175/1600): reward: -7.250589609146118, rate: 2.749410390853882, loss: 0.008587495423853397, rho: 0.4
[TRAIN]: (176/1600): reward: -10.497508071362972, rate: 1.5024919286370277, loss: 0.008417481556534767, rho: 0.4
[TRAIN]: (177/1600): reward: -0.9398124814033508, rate: 9.06018751859665, loss: 0.011978396214544773, rho: 0.4
[TRAIN]: (178/1600): reward: -8.40686547756195, rate: 1.5931345224380493, loss: 0.011454236693680286, rho: 0.4
[TRAIN]: (179/1600): reward: 9.944916725158691, rate: 18.94491672515869, loss: 0.01328180730342865, rho: 0.4
[TRAIN]: (180/1600): reward: -5.367316663265228, rate: 3.6326833367347717, loss: 0.010669155046343803, rho: 0.4
[TRAIN]: (181/1600): reward: -10.720476865768433, rate: 0.2795231342315674, loss: 0.011749030090868473, rho: 0.4
[TRAIN]: (182/1600): reward: -6.958276890218258, rate: 0.041723109781742096, loss: 0.013054559007287025, rho: 0.4
[TRAIN]: (183/1600): reward: -15.0, rate: 0, loss: 0.010344496928155422, rho: 0.4
[TRAIN]: (184/1600): reward: -9.0, rate: 0, loss: 0.012076454237103462, rho: 0.4
[TRAIN]: (185/1600): reward: -3.755892753601074, rate: 9.244107246398926, loss: 0.012432980351150036, rho: 0.4
[TRAIN]: (186/1600): reward: -4.493547737598419, rate: 4.506452262401581, loss: 0.010360492393374443, rho: 0.4
[TRAIN]: (187/1600): reward: -4.635601997375488, rate: 8.364398002624512, loss: 0.012315098196268082, rho: 0.4
[TRAIN]: (188/1600): reward: -9.762534536421299, rate: 0.23746546357870102, loss: 0.010765709914267063, rho: 0.4
[TRAIN]: (189/1600): reward: -5.313840866088867, rate: 7.686159133911133, loss: 0.01077435351908207, rho: 0.4
[TRAIN]: (190/1600): reward: -7.202228989452124, rate: 3.7977710105478764, loss: 0.013779657892882824, rho: 0.4
[TRAIN]: (191/1600): reward: -11.0, rate: 0, loss: 0.013012900948524475, rho: 0.4
[TRAIN]: (192/1600): reward: -13.0, rate: 0, loss: 0.011553853750228882, rho: 0.4
[TRAIN]: (193/1600): reward: -7.525386810302734, rate: 4.474613189697266, loss: 0.008163764141499996, rho: 0.4
[TRAIN]: (194/1600): reward: -5.0689544677734375, rate: 3.9310455322265625, loss: 0.011793343350291252, rho: 0.4
