[TRAIN]: (180/1600): reward: -51.09281259775162, rate: 0.9071873867287372, loss: 0.569545567035675, rho: 0.4
[TRAIN]: (181/1600): reward: -70.0, rate: 0.0, loss: 0.5653117299079895, rho: 0.4
[TRAIN]: (182/1600): reward: -31.471972554922104, rate: 0.5280274372720345, loss: 0.6402784585952759, rho: 0.4
[TRAIN]: (183/1600): reward: -71.0, rate: 0, loss: 0.4855354428291321, rho: 0.4
[TRAIN]: (184/1600): reward: -43.13182210922241, rate: 1.8681780025255998, loss: 0.4938311278820038, rho: 0.4
[TRAIN]: (185/1600): reward: -60.878310203552246, rate: 0.12168972950406383, loss: 0.5722847580909729, rho: 0.4
[TRAIN]: (186/1600): reward: -73.53822791576385, rate: 1.4617719822678577, loss: 0.5472912788391113, rho: 0.4
[TRAIN]: (187/1600): reward: -58.052464723587036, rate: 1.9475352374743577, loss: 0.6949453949928284, rho: 0.4
[TRAIN]: (188/1600): reward: -54.4656280875206, rate: 0.5343718981448843, loss: 0.5133273601531982, rho: 0.4
[TRAIN]: (189/1600): reward: -68.84261274337769, rate: 1.1573872825512748, loss: 0.4400045573711395, rho: 0.4
[TRAIN]: (190/1600): reward: -62.10572004318237, rate: 0.8942798582485584, loss: 0.4493198096752167, rho: 0.4
[TRAIN]: (191/1600): reward: -51.221054673194885, rate: 0.7789453873000134, loss: 0.4997189939022064, rho: 0.4
[TRAIN]: (192/1600): reward: -59.0, rate: 0, loss: 0.45681700110435486, rho: 0.4
[TRAIN]: (193/1600): reward: -61.609247624874115, rate: 1.3907523176925032, loss: 0.5243257880210876, rho: 0.4
[TRAIN]: (194/1600): reward: -45.054962515830994, rate: 1.945037459937419, loss: 0.6256723403930664, rho: 0.4
[TRAIN]: (195/1600): reward: -55.74691826105118, rate: 3.253081747862007, loss: 0.5118191242218018, rho: 0.4
[TRAIN]: (196/1600): reward: -39.38086271286011, rate: 1.6191372793835543, loss: 0.5993947386741638, rho: 0.4
[TRAIN]: (197/1600): reward: -59.159307926893234, rate: 0.8406920990248978, loss: 0.5030664801597595, rho: 0.4
[TRAIN]: (198/1600): reward: -50.26483112573624, rate: 0.7351689241507415, loss: 0.5629108548164368, rho: 0.4
[TRAIN]: (199/1600): reward: -40.03276813030243, rate: 2.967231862949956, loss: 0.622205913066864, rho: 0.4
[TRAIN]: (200/1600): reward: -40.557780504226685, rate: 3.44221957551386, loss: 0.5266605019569397, rho: 0.4
[TRAIN]: (201/1600): reward: -60.27981948852539, rate: 0.7201806445328018, loss: 0.4937727451324463, rho: 0.4
[TRAIN]: (202/1600): reward: -67.5645364522934, rate: 1.4354635690130046, loss: 0.5210614800453186, rho: 0.4
[TRAIN]: (203/1600): reward: -38.29733383655548, rate: 2.702666245486855, loss: 0.6312020421028137, rho: 0.4
[TRAIN]: (204/1600): reward: -50.592492908239365, rate: 0.407507093450767, loss: 0.5038737654685974, rho: 0.4
[TRAIN]: (205/1600): reward: -54.926350593566895, rate: 1.0736494025511407, loss: 0.7015227675437927, rho: 0.4
[TRAIN]: (206/1600): reward: -78.0, rate: 0, loss: 0.5201778411865234, rho: 0.4
[TRAIN]: (207/1600): reward: -61.81027328968048, rate: 1.1897267593238052, loss: 0.6045200228691101, rho: 0.4
[TRAIN]: (208/1600): reward: -39.47279250621796, rate: 1.527207579339838, loss: 0.6407985687255859, rho: 0.4
[TRAIN]: (209/1600): reward: -51.50420242547989, rate: 1.495797474152963, loss: 0.5807931423187256, rho: 0.4
[TRAIN]: (210/1600): reward: -47.435710430145264, rate: 0.5642896485935764, loss: 0.5727853178977966, rho: 0.4
[TRAIN]: (211/1600): reward: -53.83723592758179, rate: 0.16276396342274005, loss: 0.5753249526023865, rho: 0.4
[TRAIN]: (212/1600): reward: -43.43602633476257, rate: 0.5639737351873106, loss: 0.49085718393325806, rho: 0.4
[TRAIN]: (213/1600): reward: -40.477390110492706, rate: 2.5226100017405586, loss: 0.4332441985607147, rho: 0.4
[TRAIN]: (214/1600): reward: -43.98430562019348, rate: 1.0156945159664015, loss: 0.5220527052879333, rho: 0.4
[TRAIN]: (215/1600): reward: -62.14004456996918, rate: 1.859955328807337, loss: 0.4973768889904022, rho: 0.4
[TRAIN]: (216/1600): reward: -58.0776329934597, rate: 1.922367020235027, loss: 0.5006685256958008, rho: 0.4
[TRAIN]: (217/1600): reward: -59.88595008850098, rate: 1.1140497557409867, loss: 0.4996936023235321, rho: 0.4
[TRAIN]: (218/1600): reward: -35.84473313391209, rate: 1.1552668510026738, loss: 0.5110739469528198, rho: 0.4
