[TRAIN]: (125/1600): reward: -13.0, rate: 0, td_error: -0.6358343958854675, rho: 0.4
[TRAIN]: (126/1600): reward: -12.0, rate: 0, td_error: -0.4385262131690979, rho: 0.4
[TRAIN]: (127/1600): reward: -2.5730528831481934, rate: 9.426946640014648, td_error: -0.4484027365222573, rho: 0.4
[TRAIN]: (128/1600): reward: 4.403967648744583, rate: 14.40396785736084, td_error: -0.38345048427581785, rho: 0.4
[TRAIN]: (129/1600): reward: 0.3204711154103279, rate: 9.320470809936523, td_error: -0.7815302969887853, rho: 0.4
[TRAIN]: (130/1600): reward: -9.879593253135681, rate: 2.1204066276550293, td_error: -0.5876518353819847, rho: 0.4
[TRAIN]: (131/1600): reward: -9.651164054870605, rate: 5.3488359451293945, td_error: -0.6392817430198192, rho: 0.4
[TRAIN]: (132/1600): reward: -10.937557820230722, rate: 0.06244217976927757, td_error: -0.34730818271636965, rho: 0.4
[TRAIN]: (133/1600): reward: -12.0, rate: 0, td_error: -0.4385262131690979, rho: 0.4
[TRAIN]: (134/1600): reward: -4.347988605499268, rate: 6.652011394500732, td_error: -0.4950035142712295, rho: 0.4
[TRAIN]: (135/1600): reward: -12.77021573483944, rate: 0.2297842651605606, td_error: -0.40474424362182615, rho: 0.4
[TRAIN]: (136/1600): reward: -11.893996715545654, rate: 2.1060032844543457, td_error: -0.4135262131690979, rho: 0.4
[TRAIN]: (137/1600): reward: -4.309799671173096, rate: 5.690200328826904, td_error: -0.5209622740745544, rho: 0.4
[TRAIN]: (138/1600): reward: -9.912818469107151, rate: 0.08718153089284897, td_error: -0.45261152684688566, rho: 0.4
[TRAIN]: (139/1600): reward: -14.0, rate: 0, td_error: -0.5621803045272827, rho: 0.4
[TRAIN]: (140/1600): reward: -9.054994881153107, rate: 0.9450051188468933, td_error: -0.628398334980011, rho: 0.4
[TRAIN]: (141/1600): reward: -1.1931807696819305, rate: 5.806819438934326, td_error: -0.5615783110260963, rho: 0.4
[TRAIN]: (142/1600): reward: -4.789688672870398, rate: 6.210311412811279, td_error: -0.5448840409517288, rho: 0.4
[TRAIN]: (143/1600): reward: -4.826037257909775, rate: 4.173962593078613, td_error: -0.5116586219519377, rho: 0.4
[TRAIN]: (144/1600): reward: -7.9457526206970215, rate: 5.0542473793029785, td_error: -0.37430539447814226, rho: 0.4
[TRAIN]: (145/1600): reward: -7.7298803478479385, rate: 5.270119667053223, td_error: -0.653973295725882, rho: 0.4
[TRAIN]: (146/1600): reward: -12.0, rate: 0, td_error: -0.5459622740745544, rho: 0.4
[TRAIN]: (147/1600): reward: -6.9096150398254395, rate: 4.0903849601745605, td_error: -0.461212008446455, rho: 0.4
[TRAIN]: (148/1600): reward: -7.3965020179748535, rate: 4.6034979820251465, td_error: -0.5146823955699802, rho: 0.4
[TRAIN]: (149/1600): reward: -3.664703369140625, rate: 8.335296630859375, td_error: -0.44673670614138244, rho: 0.4
[TRAIN]: (150/1600): reward: -10.159916579723358, rate: 3.840083360671997, td_error: -0.35474424362182616, rho: 0.4
[TRAIN]: (151/1600): reward: -3.348351761698723, rate: 4.651648044586182, td_error: -0.4148721218109131, rho: 0.4
[TRAIN]: (152/1600): reward: -8.318552862852812, rate: 2.6814470291137695, td_error: -0.46157117933034897, rho: 0.4
[TRAIN]: (153/1600): reward: -6.97052726149559, rate: 6.029472827911377, td_error: -0.46702276151627303, rho: 0.4
[TRAIN]: (154/1600): reward: -8.0, rate: 0, td_error: -0.5148721218109131, rho: 0.4
[TRAIN]: (155/1600): reward: -12.0, rate: 0, td_error: -0.578398334980011, rho: 0.4
[TRAIN]: (156/1600): reward: -9.759400144219398, rate: 0.2405998557806015, td_error: -0.5288771688938141, rho: 0.4
[TRAIN]: (157/1600): reward: -2.5235235691070557, rate: 7.476476669311523, td_error: -0.4561920706182718, rho: 0.4
[TRAIN]: (158/1600): reward: -9.0, rate: 0, td_error: -0.4385262131690979, rho: 0.4
[TRAIN]: (159/1600): reward: 1.230520248413086, rate: 11.230520248413086, td_error: -0.5798733722418546, rho: 0.4
[TRAIN]: (160/1600): reward: -15.0, rate: 0, td_error: -0.6770524263381958, rho: 0.4
[TRAIN]: (161/1600): reward: -11.80583393573761, rate: 0.19416606426239014, td_error: -0.3926822155714035, rho: 0.4
[TRAIN]: (162/1600): reward: -11.50976276397705, rate: 0.4902372360229492, td_error: -0.6196163654327392, rho: 0.4
[TRAIN]: (163/1600): reward: -0.9740965068340302, rate: 7.025903701782227, td_error: -0.33107555508613584, rho: 0.4
[TRAIN]: (164/1600): reward: -0.7437801361083984, rate: 6.256219863891602, td_error: -0.4327027529478073, rho: 0.4
[TRAIN]: (165/1600): reward: -7.198297470808029, rate: 3.8017024993896484, td_error: -0.4639487463980913, rho: 0.4
[TRAIN]: (166/1600): reward: -12.885120563209057, rate: 0.11487943679094315, td_error: -0.5770028054714202, rho: 0.4
[TRAIN]: (167/1600): reward: 0.5307455062866211, rate: 10.530745506286621, td_error: -0.4438863653689623, rho: 0.4
[TRAIN]: (168/1600): reward: -8.312532663345337, rate: 3.687467336654663, td_error: -0.47974424362182616, rho: 0.4
[TRAIN]: (169/1600): reward: 6.410956412553787, rate: 14.410956382751465, td_error: -0.5143414402380586, rho: 0.4
[TRAIN]: (170/1600): reward: -4.2600061893463135, rate: 8.739994049072266, td_error: -0.5895058879628777, rho: 0.4
[TRAIN]: (171/1600): reward: -1.0208569169044495, rate: 9.979143142700195, td_error: -0.326860960945487, rho: 0.4
[TRAIN]: (172/1600): reward: 0.0636221319437027, rate: 6.063621997833252, td_error: -0.4462401927448809, rho: 0.4
[TRAIN]: (173/1600): reward: -14.0, rate: 0, td_error: -0.478398334980011, rho: 0.4
[TRAIN]: (174/1600): reward: -12.0, rate: 0, td_error: -0.5621803045272827, rho: 0.4
[TRAIN]: (175/1600): reward: -7.4228950291872025, rate: 5.5771050453186035, td_error: -0.578398334980011, rho: 0.4
[TRAIN]: (176/1600): reward: -13.0, rate: 0, td_error: -0.5121803045272827, rho: 0.4
[TRAIN]: (177/1600): reward: -11.0, rate: 0, td_error: -0.33109015226364136, rho: 0.4
